region,basin,scenario,year,value
USA,PacArctic,Evolving,2100,-3.5471358232303825
USA,PacArctic,Static,2100,0.9760772636177689
USA,NelsonR,Evolving,2100,-3.5471358232303825
USA,NelsonR,Static,2100,0.9760772636177689
USA,MexCstNW,Evolving,2100,-3.5471358232303825
USA,MexCstNW,Static,2100,0.9760772636177689
USA,Caribbean,Evolving,2100,-3.5471358232303825
USA,Caribbean,Static,2100,0.9760772636177689
USA,California,Evolving,2100,-3.5471358232303825
USA,California,Static,2100,0.9760772636177689
USA,MissppRN,Evolving,2100,-3.5471358232303825
USA,MissppRN,Static,2100,0.9760772636177689
USA,MissppRS,Evolving,2100,-3.5471358232303825
USA,MissppRS,Static,2100,0.9760772636177689
USA,UsaColoRN,Evolving,2100,-3.5471358232303825
USA,UsaColoRN,Static,2100,0.9760772636177689
USA,UsaColoRS,Evolving,2100,-3.5471358232303825
USA,UsaColoRS,Static,2100,0.9760772636177689
USA,GreatBasin,Evolving,2100,-3.5471358232303825
USA,GreatBasin,Static,2100,0.9760772636177689
USA,MissouriR,Evolving,2100,-3.5471358232303825
USA,MissouriR,Static,2100,0.9760772636177689
USA,ArkWhtRedR,Evolving,2100,-3.5471358232303825
USA,ArkWhtRedR,Static,2100,0.9760772636177689
USA,TexasCst,Evolving,2100,-3.5471358232303825
USA,TexasCst,Static,2100,0.9760772636177689
USA,UsaCstSE,Evolving,2100,-3.5471358232303825
USA,UsaCstSE,Static,2100,0.9760772636177689
USA,GreatLakes,Evolving,2100,-3.5471358232303825
USA,GreatLakes,Static,2100,0.9760772636177689
USA,OhioR,Evolving,2100,-3.5471358232303825
USA,OhioR,Static,2100,0.9760772636177689
USA,UsaPacNW,Evolving,2100,-3.5471358232303825
USA,UsaPacNW,Static,2100,0.9760772636177689
USA,TennR,Evolving,2100,-3.5471358232303825
USA,TennR,Static,2100,0.9760772636177689
USA,RioGrande,Evolving,2100,-3.5471358232303825
USA,RioGrande,Static,2100,0.9760772636177689
USA,UsaCstNE,Evolving,2100,-3.5471358232303825
USA,UsaCstNE,Static,2100,0.9760772636177689
USA,UsaCstE,Evolving,2100,-3.5471358232303825
USA,UsaCstE,Static,2100,0.9760772636177689
USA,Hawaii,Evolving,2100,-3.5471358232303825
USA,Hawaii,Static,2100,0.9760772636177689
Central Asia,VolgaR,Evolving,2100,0.04346870080021295
Central Asia,VolgaR,Static,2100,-0.5018236979487316
Central Asia,UralR,Evolving,2100,0.04346870080021295
Central Asia,UralR,Static,2100,-0.5018236979487316
Central Asia,Gobi,Evolving,2100,0.04346870080021295
Central Asia,Gobi,Static,2100,-0.5018236979487316
Central Asia,AmurR,Evolving,2100,0.04346870080021295
Central Asia,AmurR,Static,2100,-0.5018236979487316
Central Asia,CaspianNE,Evolving,2100,0.04346870080021295
Central Asia,CaspianNE,Static,2100,-0.5018236979487316
Central Asia,BlackSeaN,Evolving,2100,0.04346870080021295
Central Asia,BlackSeaN,Static,2100,-0.5018236979487316
Central Asia,YeniseiR,Evolving,2100,0.04346870080021295
Central Asia,YeniseiR,Static,2100,-0.5018236979487316
Central Asia,CaspianE,Evolving,2100,0.04346870080021295
Central Asia,CaspianE,Static,2100,-0.5018236979487316
Central Asia,ObR,Evolving,2100,0.04346870080021295
Central Asia,ObR,Static,2100,-0.5018236979487316
Central Asia,AmuDaryaR,Evolving,2100,0.04346870080021295
Central Asia,AmuDaryaR,Static,2100,-0.5018236979487316
Central Asia,LBalkash,Evolving,2100,0.04346870080021295
Central Asia,LBalkash,Static,2100,-0.5018236979487316
Central Asia,BlackSeaS,Evolving,2100,0.04346870080021295
Central Asia,BlackSeaS,Static,2100,-0.5018236979487316
Central Asia,CaspianSW,Evolving,2100,0.04346870080021295
Central Asia,CaspianSW,Static,2100,-0.5018236979487316
Central Asia,SyrDaryaR,Evolving,2100,0.04346870080021295
Central Asia,SyrDaryaR,Static,2100,-0.5018236979487316
Central Asia,Tarim,Evolving,2100,0.04346870080021295
Central Asia,Tarim,Static,2100,-0.5018236979487316
China,RusCstSE,Evolving,2100,2.9071574872719603
China,RusCstSE,Static,2100,-1.2031579073792984
China,Gobi,Evolving,2100,2.9071574872719603
China,Gobi,Static,2100,-1.2031579073792984
China,AmurR,Evolving,2100,2.9071574872719603
China,AmurR,Static,2100,-1.2031579073792984
China,ObR,Evolving,2100,2.9071574872719603
China,ObR,Static,2100,-1.2031579073792984
China,AmuDaryaR,Evolving,2100,2.9071574872719603
China,AmuDaryaR,Static,2100,-1.2031579073792984
China,BoHai,Evolving,2100,2.9071574872719603
China,BoHai,Static,2100,-1.2031579073792984
China,LBalkash,Evolving,2100,2.9071574872719603
China,LBalkash,Static,2100,-1.2031579073792984
China,SyrDaryaR,Evolving,2100,2.9071574872719603
China,SyrDaryaR,Static,2100,-1.2031579073792984
China,ZiyaHe,Evolving,2100,2.9071574872719603
China,ZiyaHe,Static,2100,-1.2031579073792984
China,ChinaCst,Evolving,2100,2.9071574872719603
China,ChinaCst,Static,2100,-1.2031579073792984
China,HuangHeR,Evolving,2100,2.9071574872719603
China,HuangHeR,Static,2100,-1.2031579073792984
China,Tarim,Evolving,2100,2.9071574872719603
China,Tarim,Static,2100,-1.2031579073792984
China,IndusR,Evolving,2100,2.9071574872719603
China,IndusR,Static,2100,-1.2031579073792984
China,Tibet,Evolving,2100,2.9071574872719603
China,Tibet,Static,2100,-1.2031579073792984
Taiwan,Taiwan,Evolving,2100,-0.02345578425149835
Taiwan,Taiwan,Static,2100,-0.011313090992152235
China,Yangtze,Evolving,2100,2.9071574872719603
China,Yangtze,Static,2100,-1.2031579073792984
China,XunJiang,Evolving,2100,2.9071574872719603
China,XunJiang,Static,2100,-1.2031579073792984
China,Hong,Evolving,2100,2.9071574872719603
China,Hong,Static,2100,-1.2031579073792984
China,GangesR,Evolving,2100,2.9071574872719603
China,GangesR,Static,2100,-1.2031579073792984
China,SChinaSea,Evolving,2100,2.9071574872719603
China,SChinaSea,Static,2100,-1.2031579073792984
China,Hainan,Evolving,2100,2.9071574872719603
China,Hainan,Static,2100,-1.2031579073792984
China,Mekong,Evolving,2100,2.9071574872719603
China,Mekong,Static,2100,-1.2031579073792984
China,Salween,Evolving,2100,2.9071574872719603
China,Salween,Static,2100,-1.2031579073792984
China,IrrawaddyR,Evolving,2100,2.9071574872719603
China,IrrawaddyR,Static,2100,-1.2031579073792984
EU-12,BalticSea,Evolving,2100,0.03295669752313281
EU-12,BalticSea,Static,2100,-0.16389102832028868
EU-12,NarvaR,Evolving,2100,0.03295669752313281
EU-12,NarvaR,Static,2100,-0.16389102832028868
EU-12,DaugavaR,Evolving,2100,0.03295669752313281
EU-12,DaugavaR,Static,2100,-0.16389102832028868
EU-12,OderR,Evolving,2100,0.03295669752313281
EU-12,OderR,Static,2100,-0.16389102832028868
EU-12,WislaR,Evolving,2100,0.03295669752313281
EU-12,WislaR,Static,2100,-0.16389102832028868
EU-12,ElbeR,Evolving,2100,0.03295669752313281
EU-12,ElbeR,Static,2100,-0.16389102832028868
EU-12,PolandCst,Evolving,2100,0.03295669752313281
EU-12,PolandCst,Static,2100,-0.16389102832028868
EU-12,NemanR,Evolving,2100,0.03295669752313281
EU-12,NemanR,Static,2100,-0.16389102832028868
EU-12,DanubeR,Evolving,2100,0.03295669752313281
EU-12,DanubeR,Static,2100,-0.16389102832028868
EU-12,AdrBlkSea,Evolving,2100,0.03295669752313281
EU-12,AdrBlkSea,Static,2100,-0.16389102832028868
EU-12,MeditE,Evolving,2100,0.03295669752313281
EU-12,MeditE,Static,2100,-0.16389102832028868
EU-15,ScndnvN,Evolving,2100,7.095876432353302
EU-15,ScndnvN,Static,2100,7.268514029452641
EU-15,Sweden,Evolving,2100,7.095876432353302
EU-15,Sweden,Static,2100,7.268514029452641
EU-15,Finland,Evolving,2100,7.095876432353302
EU-15,Finland,Static,2100,7.268514029452641
EU-15,Scotland,Evolving,2100,7.095876432353302
EU-15,Scotland,Static,2100,7.268514029452641
EU-15,NevaR,Evolving,2100,7.095876432353302
EU-15,NevaR,Static,2100,7.268514029452641
EU-15,DnkGrmCst,Evolving,2100,7.095876432353302
EU-15,DnkGrmCst,Static,2100,7.268514029452641
EU-15,Ireland,Evolving,2100,7.095876432353302
EU-15,Ireland,Static,2100,7.268514029452641
EU-15,EngWales,Evolving,2100,7.095876432353302
EU-15,EngWales,Static,2100,7.268514029452641
EU-15,EmsWeserR,Evolving,2100,7.095876432353302
EU-15,EmsWeserR,Static,2100,7.268514029452641
EU-15,OderR,Evolving,2100,7.095876432353302
EU-15,OderR,Static,2100,7.268514029452641
EU-15,ElbeR,Evolving,2100,7.095876432353302
EU-15,ElbeR,Static,2100,7.268514029452641
EU-15,RhineR,Evolving,2100,7.095876432353302
EU-15,RhineR,Static,2100,7.268514029452641
EU-15,ScheldtR,Evolving,2100,7.095876432353302
EU-15,ScheldtR,Static,2100,7.268514029452641
EU-15,FranceCstW,Evolving,2100,7.095876432353302
EU-15,FranceCstW,Static,2100,7.268514029452641
EU-15,LoireR,Evolving,2100,7.095876432353302
EU-15,LoireR,Static,2100,7.268514029452641
EU-15,SeineR,Evolving,2100,7.095876432353302
EU-15,SeineR,Static,2100,7.268514029452641
EU-15,ItalyCstE,Evolving,2100,7.095876432353302
EU-15,ItalyCstE,Static,2100,7.268514029452641
EU-15,DanubeR,Evolving,2100,7.095876432353302
EU-15,DanubeR,Static,2100,7.268514029452641
EU-15,AdrBlkSea,Evolving,2100,7.095876432353302
EU-15,AdrBlkSea,Static,2100,7.268514029452641
EU-15,PoR,Evolving,2100,7.095876432353302
EU-15,PoR,Static,2100,7.268514029452641
EU-15,ItalyCstW,Evolving,2100,7.095876432353302
EU-15,ItalyCstW,Static,2100,7.268514029452641
EU-15,IberiaCst,Evolving,2100,7.095876432353302
EU-15,IberiaCst,Static,2100,7.268514029452641
EU-15,FranceCstS,Evolving,2100,7.095876432353302
EU-15,FranceCstS,Static,2100,7.268514029452641
EU-15,RhoneR,Evolving,2100,7.095876432353302
EU-15,RhoneR,Static,2100,7.268514029452641
EU-15,MeditIsl,Evolving,2100,7.095876432353302
EU-15,MeditIsl,Static,2100,7.268514029452641
EU-15,Gironde,Evolving,2100,7.095876432353302
EU-15,Gironde,Static,2100,7.268514029452641
EU-15,SpainCstSE,Evolving,2100,7.095876432353302
EU-15,SpainCstSE,Static,2100,7.268514029452641
EU-15,TiberR,Evolving,2100,7.095876432353302
EU-15,TiberR,Static,2100,7.268514029452641
EU-15,TagusR,Evolving,2100,7.095876432353302
EU-15,TagusR,Static,2100,7.268514029452641
EU-15,EbroR,Evolving,2100,7.095876432353302
EU-15,EbroR,Static,2100,7.268514029452641
EU-15,DouroR,Evolving,2100,7.095876432353302
EU-15,DouroR,Static,2100,7.268514029452641
EU-15,MeditE,Evolving,2100,7.095876432353302
EU-15,MeditE,Static,2100,7.268514029452641
EU-15,GuadianaR,Evolving,2100,7.095876432353302
EU-15,GuadianaR,Static,2100,7.268514029452641
EU-15,GuadalqR,Evolving,2100,7.095876432353302
EU-15,GuadalqR,Static,2100,7.268514029452641
EU-15,AfrCstNW,Evolving,2100,7.095876432353302
EU-15,AfrCstNW,Static,2100,7.268514029452641
EU-15,ArgCstS,Evolving,2100,7.095876432353302
EU-15,ArgCstS,Static,2100,7.268514029452641
Europe_Eastern,NevaR,Evolving,2100,1.029131499647115
Europe_Eastern,NevaR,Static,2100,1.6691802878008006
Europe_Eastern,DaugavaR,Evolving,2100,1.029131499647115
Europe_Eastern,DaugavaR,Static,2100,1.6691802878008006
Europe_Eastern,WislaR,Evolving,2100,1.029131499647115
Europe_Eastern,WislaR,Static,2100,1.6691802878008006
Europe_Eastern,NemanR,Evolving,2100,1.029131499647115
Europe_Eastern,NemanR,Static,2100,1.6691802878008006
Europe_Eastern,DnieperR,Evolving,2100,1.029131499647115
Europe_Eastern,DnieperR,Static,2100,1.6691802878008006
Europe_Eastern,BlackSeaN,Evolving,2100,1.029131499647115
Europe_Eastern,BlackSeaN,Static,2100,1.6691802878008006
Europe_Eastern,DniesterR,Evolving,2100,1.029131499647115
Europe_Eastern,DniesterR,Static,2100,1.6691802878008006
Europe_Eastern,DonR,Evolving,2100,1.029131499647115
Europe_Eastern,DonR,Static,2100,1.6691802878008006
Europe_Eastern,DanubeR,Evolving,2100,1.029131499647115
Europe_Eastern,DanubeR,Static,2100,1.6691802878008006
Europe_Non_EU,DanubeR,Evolving,2100,2.0427976919449877
Europe_Non_EU,DanubeR,Static,2100,1.8617256142473686
Europe_Non_EU,AdrBlkSea,Evolving,2100,2.0427976919449877
Europe_Non_EU,AdrBlkSea,Static,2100,1.8617256142473686
Europe_Non_EU,BlackSeaS,Evolving,2100,2.0427976919449877
Europe_Non_EU,BlackSeaS,Static,2100,1.8617256142473686
Europe_Non_EU,CaspianSW,Evolving,2100,2.0427976919449877
Europe_Non_EU,CaspianSW,Static,2100,1.8617256142473686
Europe_Non_EU,MeditE,Evolving,2100,2.0427976919449877
Europe_Non_EU,MeditE,Static,2100,1.8617256142473686
Europe_Non_EU,TigrEuphR,Evolving,2100,2.0427976919449877
Europe_Non_EU,TigrEuphR,Static,2100,1.8617256142473686
European Free Trade Association,ScndnvN,Evolving,2100,1.1495629996910022
European Free Trade Association,ScndnvN,Static,2100,1.126472916435039
European Free Trade Association,Iceland,Evolving,2100,1.1495629996910022
European Free Trade Association,Iceland,Static,2100,1.126472916435039
European Free Trade Association,Sweden,Evolving,2100,1.1495629996910022
European Free Trade Association,Sweden,Static,2100,1.126472916435039
European Free Trade Association,RhineR,Evolving,2100,1.1495629996910022
European Free Trade Association,RhineR,Static,2100,1.126472916435039
European Free Trade Association,DanubeR,Evolving,2100,1.1495629996910022
European Free Trade Association,DanubeR,Static,2100,1.126472916435039
European Free Trade Association,PoR,Evolving,2100,1.1495629996910022
European Free Trade Association,PoR,Static,2100,1.126472916435039
European Free Trade Association,RhoneR,Evolving,2100,1.1495629996910022
European Free Trade Association,RhoneR,Static,2100,1.126472916435039
India,IndusR,Evolving,2100,7.050827131206144
India,IndusR,Static,2100,6.554753787345345
India,SabarmatiR,Evolving,2100,7.050827131206144
India,SabarmatiR,Static,2100,6.554753787345345
India,GangesR,Evolving,2100,7.050827131206144
India,GangesR,Static,2100,6.554753787345345
India,MahiR,Evolving,2100,7.050827131206144
India,MahiR,Static,2100,6.554753787345345
India,BengalBay,Evolving,2100,7.050827131206144
India,BengalBay,Static,2100,6.554753787345345
India,TaptiR,Evolving,2100,7.050827131206144
India,TaptiR,Static,2100,6.554753787345345
India,BengalW,Evolving,2100,7.050827131206144
India,BengalW,Static,2100,6.554753787345345
India,BrahmaniR,Evolving,2100,7.050827131206144
India,BrahmaniR,Static,2100,6.554753787345345
India,MahanadiR,Evolving,2100,7.050827131206144
India,MahanadiR,Static,2100,6.554753787345345
India,GodavariR,Evolving,2100,7.050827131206144
India,GodavariR,Static,2100,6.554753787345345
India,IndCstNE,Evolving,2100,7.050827131206144
India,IndCstNE,Static,2100,6.554753787345345
India,IndCstW,Evolving,2100,7.050827131206144
India,IndCstW,Static,2100,6.554753787345345
India,IrrawaddyR,Evolving,2100,7.050827131206144
India,IrrawaddyR,Static,2100,6.554753787345345
India,KrishnaR,Evolving,2100,7.050827131206144
India,KrishnaR,Static,2100,6.554753787345345
India,AdnNicIsl,Evolving,2100,7.050827131206144
India,AdnNicIsl,Static,2100,6.554753787345345
India,IndCstE,Evolving,2100,7.050827131206144
India,IndCstE,Static,2100,6.554753787345345
India,PennarR,Evolving,2100,7.050827131206144
India,PennarR,Static,2100,6.554753787345345
India,CauveryR,Evolving,2100,7.050827131206144
India,CauveryR,Static,2100,6.554753787345345
India,IndCstS,Evolving,2100,7.050827131206144
India,IndCstS,Static,2100,6.554753787345345
India,NarmadaR,Evolving,2100,7.050827131206144
India,NarmadaR,Static,2100,6.554753787345345
Indonesia,IdnE,Evolving,2100,6.702366547036648
Indonesia,IdnE,Static,2100,4.522563382600228
Indonesia,BorneoCstN,Evolving,2100,6.702366547036648
Indonesia,BorneoCstN,Static,2100,4.522563382600228
Indonesia,Sumatra,Evolving,2100,6.702366547036648
Indonesia,Sumatra,Static,2100,4.522563382600228
Indonesia,Sulawesi,Evolving,2100,6.702366547036648
Indonesia,Sulawesi,Static,2100,4.522563382600228
Indonesia,Kalimantan,Evolving,2100,6.702366547036648
Indonesia,Kalimantan,Static,2100,4.522563382600228
Indonesia,IrianJaya,Evolving,2100,6.702366547036648
Indonesia,IrianJaya,Static,2100,4.522563382600228
Indonesia,JavaTimor,Evolving,2100,6.702366547036648
Indonesia,JavaTimor,Static,2100,4.522563382600228
Indonesia,SepikR,Evolving,2100,6.702366547036648
Indonesia,SepikR,Static,2100,4.522563382600228
Indonesia,FlyR,Evolving,2100,6.702366547036648
Indonesia,FlyR,Static,2100,4.522563382600228
Japan,Japan,Evolving,2100,-0.24118315113558328
Japan,Japan,Static,2100,-0.21227947846731982
Africa_Eastern,NileR,Evolving,2100,30.177343348699203
Africa_Eastern,NileR,Static,2100,28.829641251920563
Africa_Eastern,AfrCstNE,Evolving,2100,30.177343348699203
Africa_Eastern,AfrCstNE,Static,2100,28.829641251920563
Africa_Eastern,AfrIntN,Evolving,2100,30.177343348699203
Africa_Eastern,AfrIntN,Static,2100,28.829641251920563
Africa_Eastern,LChad,Evolving,2100,30.177343348699203
Africa_Eastern,LChad,Static,2100,28.829641251920563
Africa_Eastern,ShebJubR,Evolving,2100,30.177343348699203
Africa_Eastern,ShebJubR,Static,2100,28.829641251920563
Africa_Eastern,AfrCstE,Evolving,2100,30.177343348699203
Africa_Eastern,AfrCstE,Static,2100,28.829641251920563
Africa_Eastern,Madagascar,Evolving,2100,30.177343348699203
Africa_Eastern,Madagascar,Static,2100,28.829641251920563
Africa_Eastern,RiftValley,Evolving,2100,30.177343348699203
Africa_Eastern,RiftValley,Static,2100,28.829641251920563
Africa_Eastern,CongoR,Evolving,2100,30.177343348699203
Africa_Eastern,CongoR,Static,2100,28.829641251920563
Mexico,MexBaja,Evolving,2100,2.5656635498860036
Mexico,MexBaja,Static,2100,2.8711805671444783
Mexico,MexCstNW,Evolving,2100,2.5656635498860036
Mexico,MexCstNW,Static,2100,2.8711805671444783
Mexico,MexGulf,Evolving,2100,2.5656635498860036
Mexico,MexGulf,Static,2100,2.8711805671444783
Mexico,YucatanP,Evolving,2100,2.5656635498860036
Mexico,YucatanP,Static,2100,2.8711805671444783
Mexico,MexInt,Evolving,2100,2.5656635498860036
Mexico,MexInt,Static,2100,2.8711805671444783
Mexico,MexCstW,Evolving,2100,2.5656635498860036
Mexico,MexCstW,Static,2100,2.8711805671444783
Mexico,Papaloapan,Evolving,2100,2.5656635498860036
Mexico,Papaloapan,Static,2100,2.8711805671444783
Mexico,RioLerma,Evolving,2100,2.5656635498860036
Mexico,RioLerma,Static,2100,2.8711805671444783
Mexico,RioVerde,Evolving,2100,2.5656635498860036
Mexico,RioVerde,Static,2100,2.8711805671444783
Mexico,GrijUsuR,Evolving,2100,2.5656635498860036
Mexico,GrijUsuR,Static,2100,2.8711805671444783
Mexico,RioBalsas,Evolving,2100,2.5656635498860036
Mexico,RioBalsas,Static,2100,2.8711805671444783
Mexico,CntAmer,Evolving,2100,2.5656635498860036
Mexico,CntAmer,Static,2100,2.8711805671444783
Mexico,Tehuantpc,Evolving,2100,2.5656635498860036
Mexico,Tehuantpc,Static,2100,2.8711805671444783
Mexico,California,Evolving,2100,2.5656635498860036
Mexico,California,Static,2100,2.8711805671444783
Mexico,UsaColoRS,Evolving,2100,2.5656635498860036
Mexico,UsaColoRS,Static,2100,2.8711805671444783
Mexico,RioGrande,Evolving,2100,2.5656635498860036
Mexico,RioGrande,Static,2100,2.8711805671444783
Middle East,CaspianE,Evolving,2100,0.7033172805480402
Middle East,CaspianE,Static,2100,0.33945554631874914
Middle East,CaspianSW,Evolving,2100,0.7033172805480402
Middle East,CaspianSW,Static,2100,0.33945554631874914
Middle East,MeditE,Evolving,2100,0.7033172805480402
Middle East,MeditE,Static,2100,0.33945554631874914
Middle East,Iran,Evolving,2100,0.7033172805480402
Middle East,Iran,Static,2100,0.33945554631874914
Middle East,TigrEuphR,Evolving,2100,0.7033172805480402
Middle East,TigrEuphR,Static,2100,0.33945554631874914
Middle East,PersianGulf,Evolving,2100,0.7033172805480402
Middle East,PersianGulf,Static,2100,0.33945554631874914
Middle East,FarahrudR,Evolving,2100,0.7033172805480402
Middle East,FarahrudR,Static,2100,0.33945554631874914
Middle East,RedSeaE,Evolving,2100,0.7033172805480402
Middle East,RedSeaE,Static,2100,0.33945554631874914
Middle East,ArabianP,Evolving,2100,0.7033172805480402
Middle East,ArabianP,Static,2100,0.33945554631874914
Middle East,DeadSea,Evolving,2100,0.7033172805480402
Middle East,DeadSea,Static,2100,0.33945554631874914
Middle East,Helmand,Evolving,2100,0.7033172805480402
Middle East,Helmand,Static,2100,0.33945554631874914
Middle East,SinaiP,Evolving,2100,0.7033172805480402
Middle East,SinaiP,Static,2100,0.33945554631874914
Middle East,EJrdnSyr,Evolving,2100,0.7033172805480402
Middle East,EJrdnSyr,Static,2100,0.33945554631874914
